ID,Measured depth (m),TVD (m),D_h,Flow area,Temperature (K)
,0,-3849.111936,0.118618,0.011050733,437.3535556
,32.004,-3845.149536,0.118618,0.011050733,437.2091111
,60.96,-3836.919936,0.118618,0.011050733,436.9091111
,77.724,-3830.229576,0.118618,0.011050733,436.6652222
,90.5256,-3823.539216,0.050673,0.002016708,436.4213333
,119.4816,-3806.470416,0.050673,0.002016708,435.7991111
,148.4376,-3786.018336,0.050673,0.002016708,435.0535556
,177.3936,-3762.579216,0.050673,0.002016708,434.1991111
,206.3496,-3737.216808,0.050673,0.002016708,433.2745556
,235.3056,-3710.120088,0.050673,0.002016708,432.2867778
,264.2616,-3682.416816,0.050673,0.002016708,431.2768889
,293.2176,-3654.039936,0.050673,0.002016708,430.2424444
,322.1736,-3625.358256,0.050673,0.002016708,429.1968889
,351.1296,-3596.57904,0.050673,0.002016708,428.1477778
,380.0856,-3567.656568,0.050673,0.002016708,427.0934444
,409.0416,-3538.734096,0.050673,0.002016708,426.0391111
,437.9976,-3509.808576,0.050673,0.002016708,424.9846667
,466.9536,-3480.880008,0.050673,0.002016708,423.9301111
,495.9096,-3451.924008,0.050673,0.002016708,422.8745556
,524.8656,-3422.940576,0.050673,0.002016708,421.818
,553.8216,-3393.954096,0.050673,0.002016708,420.7613333
,582.7776,-3365.040768,0.050673,0.002016708,419.7073333
,611.7336,-3336.017712,0.050673,0.002016708,418.6493333
,640.6896,-3307.070856,0.050673,0.002016708,417.5941111
,669.6456,-3278.117904,0.050673,0.002016708,416.5386667
,698.6016,-3249.164952,0.050673,0.002016708,415.4832222
,727.5576,-3220.208952,0.050673,0.002016708,414.4276667
,756.5136,-3191.274288,0.050673,0.002016708,413.3728889
,785.4696,-3162.409728,0.050673,0.002016708,412.3206667
,814.4256,-3133.532976,0.050673,0.002016708,411.268
,843.3816,-3104.640984,0.050673,0.002016708,410.2147778
,872.3376,-3075.739848,0.050673,0.002016708,409.1612222
,901.2936,-3046.829568,0.050673,0.002016708,408.1073333
,930.2496,-3012.710256,0.050673,0.002016708,406.8635556
,959.2056,-2983.982856,0.050673,0.002016708,405.8163333
,978.408,-2965.027344,0.050673,0.002016708,405.1253333
,1007.364,-2936.415768,0.050673,0.002016708,404.0823333
,1036.32,-2907.792,0.050673,0.002016708,403.0388889
,1065.8856,-2878.549488,0.050673,0.002016708,401.9728889
,1094.8416,-2849.876952,0.050673,0.002016708,400.9276667
,1123.7976,-2821.192224,0.050673,0.002016708,399.882
,1152.7536,-2792.489208,0.050673,0.002016708,398.8356667
,1181.7096,-2763.770952,0.050673,0.002016708,397.7887778
,1210.6656,-2735.040504,0.050673,0.002016708,396.7414444
,1239.6216,-2706.297864,0.050673,0.002016708,395.6936667
