layer,distance,elevation
_571a553a_2d52_49dd_b15b_845a9e671e13,0.676394930798325,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,1.56505908103241,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,2.02361772296246,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,2.91228187319654,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,3.80094602343063,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,4.25950466536068,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,5.14816881559476,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,6.03683296582884,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,6.4953916077589,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,7.38405575799298,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,8.27271990822707,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,8.73127855015712,217.89453125
_571a553a_2d52_49dd_b15b_845a9e671e13,9.6199427003912,217.8828125
_571a553a_2d52_49dd_b15b_845a9e671e13,10.5086068506253,217.8828125
_571a553a_2d52_49dd_b15b_845a9e671e13,10.9671654925553,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,11.8558296427894,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,12.7444937930235,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,13.2030524349536,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,14.0917165851876,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,14.9803807354217,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,15.4389393773518,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,16.3276035275859,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,17.2162676778199,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,17.67482631975,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,18.5634904699841,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,19.4521546202182,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,19.9107132621482,217.875
