point,distance_ft,elevation_ft,P_psia,T_degF,v_fps,Ma,q_wall_W,Spec. Entropy
0,0.0000,715.0180,1000.0000,80.0000,17.0155,0.013082,,4005.290803
1,2.2191,715.0180,999.9873,79.9993,17.0157,0.013082,0.0002,4005.295705
2,5.1347,715.0180,999.9707,79.9984,17.0160,0.013082,0.0003,4005.302147
3,6.6392,715.0180,999.9621,79.9979,17.0161,0.013082,0.0001,4005.305470
4,9.5547,715.0180,999.9455,79.9970,17.0164,0.013083,0.0003,4005.311912
5,12.4703,714.8771,999.9325,79.9966,17.0166,0.013083,0.0003,4005.318353
6,13.9748,714.8771,999.9239,79.9961,17.0168,0.013083,0.0001,4005.321677
7,16.8903,714.8771,999.9072,79.9952,17.0171,0.013083,0.0003,4005.328119
8,19.8059,714.8771,999.8906,79.9943,17.0173,0.013083,0.0003,4005.334561
9,21.3103,714.8771,999.8820,79.9938,17.0175,0.013084,0.0001,4005.337885
10,24.2259,714.8771,999.8654,79.9929,17.0178,0.013084,0.0003,4005.344328
11,27.1415,714.8771,999.8487,79.9920,17.0180,0.013084,0.0003,4005.350771
12,28.6459,714.8771,999.8402,79.9915,17.0182,0.013084,0.0001,4005.354095
13,31.5615,714.8386,999.8245,79.9907,17.0185,0.013084,0.0003,4005.360538
14,34.4771,714.8386,999.8079,79.9898,17.0187,0.013085,0.0003,4005.366981
15,35.9815,714.7874,999.8006,79.9895,17.0189,0.013085,0.0001,4005.370306
16,38.8971,714.7874,999.7840,79.9886,17.0191,0.013085,0.0003,4005.376750
17,41.8126,714.7874,999.7673,79.9877,17.0194,0.013085,0.0003,4005.383194
18,43.3171,714.7874,999.7587,79.9872,17.0196,0.013085,0.0001,4005.386519
19,46.2327,714.7874,999.7421,79.9863,17.0198,0.013085,0.0003,4005.392963
20,49.1482,714.8130,999.7248,79.9853,17.0201,0.013086,0.0003,4005.399407
21,50.6527,714.8130,999.7162,79.9848,17.0203,0.013086,0.0001,4005.402732
22,53.5683,714.8130,999.6996,79.9839,17.0205,0.013086,0.0003,4005.409177
23,56.4838,714.8130,999.6829,79.9830,17.0208,0.013086,0.0003,4005.415622
24,57.9883,714.8130,999.6743,79.9825,17.0210,0.013086,0.0001,4005.418948
25,60.9038,714.8130,999.6577,79.9816,17.0212,0.013087,0.0003,4005.425393
26,63.8194,714.8130,999.6411,79.9807,17.0215,0.013087,0.0003,4005.431838
27,65.3239,714.8130,999.6325,79.9802,17.0217,0.013087,0.0001,4005.435164
28,68.2394,714.8643,999.6145,79.9792,17.0220,0.013087,0.0003,4005.441610
29,71.1550,714.8643,999.5979,79.9782,17.0222,0.013087,0.0003,4005.448056
30,72.6594,714.8771,999.5889,79.9777,17.0224,0.013088,0.0001,4005.451382
31,75.5750,714.8771,999.5723,79.9768,17.0227,0.013088,0.0003,4005.457829
32,78.4906,714.8771,999.5557,79.9759,17.0229,0.013088,0.0003,4005.464275
33,79.9950,714.8771,999.5471,79.9754,17.0231,0.013088,0.0001,4005.467602
34,82.9106,714.9540,999.5284,79.9743,17.0234,0.013088,0.0003,4005.474049
35,85.8262,714.9540,999.5118,79.9733,17.0237,0.013089,0.0003,4005.480496
36,87.3306,714.9540,999.5032,79.9729,17.0238,0.013089,0.0001,4005.483823
37,90.2462,714.9540,999.4866,79.9720,17.0241,0.013089,0.0003,4005.490270
38,93.1618,714.9540,999.4699,79.9710,17.0244,0.013089,0.0003,4005.496718
39,94.6662,714.9540,999.4613,79.9706,17.0245,0.013089,0.0001,4005.500045
40,97.5818,714.9540,999.4447,79.9697,17.0248,0.013090,0.0003,4005.506493
41,100.4973,715.0437,999.4257,79.9684,17.0251,0.013090,0.0003,4005.512942
42,102.0435,715.0437,999.4169,79.9680,17.0253,0.013090,0.0002,4005.516361
43,104.9591,715.0437,999.4003,79.9670,17.0255,0.013090,0.0003,4005.522810
44,107.8747,715.0437,999.3836,79.9661,17.0258,0.013090,0.0003,4005.529259
45,109.3791,715.2744,999.3691,79.9649,17.0260,0.013091,0.0002,4005.532587
46,112.2947,715.2744,999.3524,79.9640,17.0263,0.013091,0.0003,4005.539036
