point,distance_m,elevation_m,P_Pa,v_ms
0,0.000000,217.937500,689475.7293,1.344297
1,0.676395,217.937500,689382.9053,1.344297
2,1.565059,217.937500,689260.9508,1.344297
3,2.023618,217.937500,689198.0212,1.344297
4,2.912282,217.937500,689076.0668,1.344297
5,3.800946,217.894531,689282.6238,1.344297
6,4.259505,217.894531,689219.6942,1.344297
7,5.148169,217.894531,689097.7397,1.344297
8,6.036833,217.894531,689236.7693,0.330062
9,6.495392,217.894531,689234.7489,0.330062
10,7.384056,217.894531,689230.8334,0.330062
11,8.272720,217.894531,689226.9179,0.330062
12,8.731279,217.894531,689224.8974,0.330062
13,9.619943,217.882812,689310.5764,0.330062
14,10.508607,217.882812,689306.6609,0.330062
15,10.967165,217.867188,689424.0993,0.330062
16,11.855830,217.867188,689420.1838,0.330062
17,12.744494,217.867188,689416.2683,0.330062
18,13.203052,217.867188,689414.2479,0.330062
19,14.091717,217.867188,689410.3324,0.330062
20,14.980381,217.875000,689346.6874,0.330062
21,15.438939,217.875000,689344.6670,0.330062
22,16.327604,217.875000,689340.7515,0.330062
23,17.216268,217.875000,689336.8360,0.330062
24,17.674826,217.875000,688671.5743,1.344297
25,18.563490,217.875000,688549.6199,1.344297
26,19.452155,217.875000,688427.6654,1.344297
27,19.910713,217.875000,688364.7358,1.344297
28,20.799377,217.890625,688123.3225,1.344297
29,21.688042,217.890625,688001.3681,1.344297
30,22.146600,217.894531,687908.5734,1.344297
31,23.035264,217.894531,687786.6189,1.344297
32,23.923929,217.894531,687664.6645,1.344297
33,24.382487,217.894531,687601.7349,1.344297
34,25.271151,217.917969,687300.5922,1.344297
35,26.159815,217.917969,687178.6377,1.344297
36,26.618374,217.917969,687115.7081,1.344297
37,27.507038,217.917969,686993.7536,1.344297
38,28.395702,217.917969,686871.7992,1.344297
39,28.854261,217.917969,686808.8696,1.344297
40,29.742925,217.917969,686686.9151,1.344297
41,30.631589,217.945312,686355.9081,1.344297
42,31.102873,217.945312,686291.2322,1.344297
43,31.991537,217.945312,686169.2778,1.344297
44,32.880201,217.945312,686047.3233,1.344297
45,33.338760,218.015625,685446.8289,1.344297
46,34.227424,218.015625,685324.8745,1.344297
47,35.116088,218.015625,685202.9200,1.344297
48,35.574647,218.015625,685139.9904,1.344297
49,36.463311,218.085938,684480.4712,1.344297
50,37.351975,218.085938,684358.5167,1.344297
51,37.810534,218.085938,684295.5871,1.344297
52,38.699198,218.085938,684173.6327,1.344297
53,39.157756,218.085938,684110.7031,1.344297
54,40.046420,218.085938,683988.7486,1.344297
55,40.935085,218.085938,683866.7941,1.344297
56,41.393643,218.222656,682758.5993,1.344297
57,42.282307,218.332031,681800.4330,1.344297
58,43.170972,218.332031,681678.4785,1.344297
59,43.629530,218.332031,681615.5489,1.344297
60,44.518194,218.332031,681493.5945,1.344297
61,45.406859,218.332031,681371.6400,1.344297
62,45.865417,218.332031,681308.7104,1.344297
63,46.754081,218.445312,680320.6797,1.344297
64,47.642745,218.445312,680198.7253,1.344297
65,48.101304,218.445312,680135.7957,1.344297
66,48.989968,218.445312,680013.8412,1.344297
67,49.878632,218.445312,679891.8867,1.344297
68,50.337191,218.445312,679828.9572,1.344297
69,51.225855,218.445312,679707.0027,1.344297
70,52.114519,218.550781,678778.7007,1.344297
71,52.573078,218.691406,677640.6415,1.344297
72,53.461742,218.691406,677518.6871,1.344297
73,54.350406,218.691406,677396.7326,1.344297
74,54.808965,218.691406,677333.8030,1.344297
75,55.697629,218.691406,677211.8485,1.344297
76,56.586293,218.691406,677089.8941,1.344297
77,57.044852,218.691406,677026.9645,1.344297
78,57.933516,218.781250,676218.1221,1.344297
79,58.822180,218.781250,676096.1676,1.344297
80,59.280739,218.781250,676294.2221,0.330062
81,60.169403,218.781250,676290.3066,0.330062
82,61.058067,218.781250,676286.3911,0.330062
83,61.516626,218.781250,676284.3706,0.330062
84,62.405290,218.781250,676280.4551,0.330062
85,63.293954,218.878906,675529.9215,0.330062
86,63.752513,218.988281,674691.6892,0.330062
87,64.641177,218.988281,674687.7736,0.330062
88,65.529841,218.988281,674683.8581,0.330062
89,65.988400,218.988281,674681.8377,0.330062
90,66.877064,218.988281,674677.9222,0.330062
91,67.765728,218.988281,674010.7655,1.344297
92,68.224287,218.988281,673947.8359,1.344297
93,69.112951,219.082031,673109.1284,1.344297
94,70.001615,219.082031,672987.1739,1.344297
95,70.460174,219.082031,672924.2443,1.344297
96,71.348838,219.082031,672802.2899,1.344297
97,72.244063,219.082031,672679.4349,1.344297
98,72.702622,219.082031,672616.5054,1.344297
99,73.591286,219.179688,671747.9335,1.344297
100,74.049845,219.273438,670968.2509,1.344297
101,74.938509,219.273438,670846.2964,1.344297
102,75.827173,219.273438,670724.3420,1.344297
103,76.285732,219.273438,670661.4124,1.344297
104,77.174396,219.273438,670539.4579,1.344297
105,78.063060,219.273438,670417.5034,1.344297
